,product_code,product_label,2016,2017,2018,2019,2020,importer,exporter
150,54,Man-made filaments; strip and the like of man-made textile materials,0,0,0,0,,Afghanistan,Africa not elsewhere specified
151,55,Man-made staple fibres,0,0,0,0,,Afghanistan,Africa not elsewhere specified
152,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
153,57,Carpets and other textile floor coverings,0,0,0,0,,Afghanistan,Africa not elsewhere specified
154,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,0,0,,Afghanistan,Africa not elsewhere specified
155,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
156,60,Knitted or crocheted fabrics,0,0,0,0,,Afghanistan,Africa not elsewhere specified
157,61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,0,0,,Afghanistan,Africa not elsewhere specified
158,62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,0,0,0,,Afghanistan,Africa not elsewhere specified
159,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0,0,0,0,,Afghanistan,Africa not elsewhere specified
160,64,"Footwear, gaiters and the like; parts of such articles",0,0,0,0,,Afghanistan,Africa not elsewhere specified
161,65,Headgear and parts thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
162,66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
163,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
164,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,0,0,0,,Afghanistan,Africa not elsewhere specified
165,69,Ceramic products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
166,70,Glass and glassware,0,0,0,0,,Afghanistan,Africa not elsewhere specified
167,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
168,72,Iron and steel,0,0,0,0,,Afghanistan,Africa not elsewhere specified
169,73,Articles of iron or steel,0,0,0,0,,Afghanistan,Africa not elsewhere specified
